AB.A.delta.h.T3,AB.A.delta.l.T4,AB.A.delta.c.F7,AB.A.delta.g.F8,AB.B.theta.h.T3,AB.B.theta.l.T4,AB.B.theta.c.F7,AB.B.theta.g.F8,AB.C.alpha.h.T3,AB.C.alpha.l.T4,AB.C.alpha.c.F7,AB.C.alpha.g.F8,AB.D.beta.h.T3,AB.D.beta.l.T4,AB.D.beta.c.F7,AB.D.beta.g.F8,AB.E.highbeta.h.T3,AB.E.highbeta.l.T4,AB.E.highbeta.c.F7,AB.E.highbeta.g.F8,AB.F.gamma.h.T3,AB.F.gamma.l.T4,AB.F.gamma.c.F7,AB.F.gamma.g.F8,COH.A.delta.h.T3.l.T4,COH.A.delta.c.F7.g.F8,COH.B.theta.h.T3.l.T4,COH.B.theta.c.F7.g.F8,COH.C.alpha.h.T3.l.T4,COH.C.alpha.c.F7.g.F8,COH.D.beta.h.T3.l.T4,COH.D.beta.c.F7.g.F8,COH.E.highbeta.h.T3.l.T4,COH.E.highbeta.c.F7.g.F8,COH.F.gamma.h.T3.l.T4,COH.F.gamma.c.F7.g.F8
29.891368,14.741769,21.51828,16.563408,12.784247,8.68938,14.915559,11.9749,28.361474,20.957916,35.77817,32.360718,9.509544,7.091466,10.299296,8.126729,1.253971,0.922873,1.198108,0.964089,1.814427,1.464281,1.757096,1.458645,0.525307,7.5355,0.890857,27.456629,0.880901,38.503359,2.729402,2.12277,1.129406,0.264548,2.611286,8.756548
9.975238,6.230904,11.942516,8.436832,6.413413,3.074612,9.201389,5.298104,12.46664,6.004026,22.454272,16.653487,17.907382,7.128827,25.380145,14.097111,1.604894,0.789076,2.372416,1.378047,0.83575,0.437117,1.220812,0.82246,6.45974,17.223035,2.99353,31.572507,8.979487,65.385598,0.014351,19.343536,0.002647,3.94334,6.369783,10.830947
12.775574,11.946956,17.150159,16.523963,10.271465,8.125448,12.670295,10.572396,11.637642,7.730639,19.61706,15.638122,7.411332,6.323799,7.140844,6.74635,1.224323,1.137196,0.992478,1.155967,1.621734,1.505663,1.203713,1.445609,2.447167,21.192762,0.988003,20.782053,1.442285,34.479625,3.29632,16.506705,20.918268,13.912093,58.028593,60.091397
8.063191,8.456443,17.364316,14.61365,4.67341,4.070429,7.146427,5.129463,14.054834,9.40419,21.782643,15.633584,4.271065,4.38861,5.41294,4.940311,0.745763,0.989655,0.928028,0.938025,1.292708,2.128138,1.432442,2.095289,8.100641,8.76059,12.917835,25.179293,29.820763,76.390893,11.159872,26.622052,17.465938,16.997096,25.74071,23.043834
9.434306,18.278851,21.865556,15.969042,3.445666,7.910589,6.009767,5.611287,10.926501,18.439383,16.956782,20.189603,6.512581,13.988437,7.944765,10.554364,0.559549,1.884799,0.80629,1.350487,0.679018,3.56282,0.967711,2.12144,3.550961,7.228875,5.199438,19.552912,6.782487,50.00449,12.165154,39.268818,30.369011,56.547958,50.535316,70.912989
6.89977,5.99628,12.85463,14.978119,3.14485,3.390082,5.7209,5.963032,11.662753,9.756009,24.051898,20.026381,35.771832,12.715501,11.246489,9.531387,17.021807,1.911416,2.218594,1.295651,12.482283,5.419482,3.166255,1.800819,64.67018,59.587004,61.780173,67.517746,50.79824,71.045248,43.557328,58.862403,66.951176,59.766074,72.94593,72.017993
10.661723,11.178315,17.687564,17.911285,11.873009,12.582263,17.948271,17.356741,24.044306,26.876312,30.627217,30.406013,8.320959,6.481788,8.364845,8.057724,1.247964,1.023277,1.604092,1.754166,2.549704,1.558095,2.704001,2.823246,15.781133,8.247542,14.112626,26.047497,0.640626,33.641946,16.662502,12.677586,11.706909,19.180935,15.798926,25.142058
7.620754,7.600257,9.208001,9.939374,3.982413,4.325789,5.160318,6.068123,18.563396,16.386546,41.538213,40.069112,6.201225,5.536196,7.443788,6.952759,1.620887,1.346062,1.780817,1.496876,2.071039,1.666929,2.171083,1.821836,29.736146,54.373811,34.21358,62.044468,22.709595,51.623555,17.676212,38.845226,26.470664,35.517227,48.071941,49.350362
4.797183,3.720483,6.936891,7.113072,3.028706,3.245472,5.36562,5.367432,16.472646,15.475135,23.810941,20.23985,6.658165,6.865557,9.657608,11.959944,1.124313,0.932306,2.042758,2.332685,1.205784,0.880754,2.307083,3.470642,7.491899,14.319466,11.874222,26.010691,15.234838,29.992095,5.271853,13.612676,4.036018,3.266228,5.712487,11.642411
14.668044,10.008016,21.729442,12.01014,10.837342,3.999844,14.790605,7.189164,31.499326,9.433399,36.266781,20.817521,36.735272,26.140885,36.450264,27.1726,6.687923,5.995877,6.731596,6.203782,7.984814,9.374153,7.399577,8.087445,31.476184,34.496547,15.17009,33.717119,46.751314,84.437186,14.23061,32.890066,0.83685,6.42148,2.4096,3.634213
